,N,kappa,org_inc,f,correct,inc_predict,precision,f_predict
96,79,5,10.066161791091529,0.55000000000000016,True,12.734500399830846,15.664400488509246,0.48999999999999955
97,81,20,59.584344138084163,0.75000000000000022,True,56.468759816384939,28.297862888698027,0.84999999999999987
98,81,20,39.049578148725175,0.70000000000000018,True,36.28478749250354,19.631917869478198,0.7799999999999998
99,81,20,31.009316518389312,0.80000000000000016,True,30.986500621713024,15.159968702895242,0.79999999999999982
100,81,20,19.608116018097025,0.55000000000000016,True,18.351406844502065,11.999362506986719,0.59999999999999964
101,81,20,12.162896725302865,0.6000000000000002,True,13.032444455575273,7.7439785071978999,0.55999999999999961
102,64,55,69.958377921042114,0.55000000000000016,True,57.286000068100925,18.722439382806641,1.0
103,64,55,59.865744865246405,0.95000000000000029,True,58.590841378421551,18.013864106340534,1.0
104,64,55,50.77660776923905,0.70000000000000018,True,46.11694818067236,23.783636832576043,0.82999999999999985
105,64,55,18.669277922444682,0.40000000000000013,True,20.025219879708498,6.4508302426208708,0.36999999999999944
106,64,55,9.6475441540434321,0.80000000000000016,True,9.1189179987737905,7.5430699025195374,0.84999999999999987
107,24,70,79.988251560250418,0.30000000000000004,True,60.018960174565244,24.945146265517685,1.0
108,24,70,40.829398136113973,0.95000000000000029,True,39.410763847447861,17.675783730404866,1.0
109,24,70,31.169383352498958,0.70000000000000018,True,31.873829311738525,25.663904942988577,0.67999999999999972
110,24,70,11.511307536312769,0.55000000000000016,True,12.626804060998026,11.172627583140867,0.49999999999999956
111,79,55,79.558013546810628,0.40000000000000013,False,66.030558565210384,16.043405741444992,1.0
112,79,55,59.937803409906287,0.75000000000000022,True,68.660413436129261,23.541000889283076,0.49999999999999956
113,79,55,49.561936536634754,0.95000000000000029,True,48.168805855769364,12.572177036531464,1.0
114,79,55,40.983746230256727,0.75000000000000022,True,39.866463852271693,24.524442963537986,0.7799999999999998
115,79,55,29.249757081674989,0.65000000000000013,True,26.89377813415696,17.3725623512859,0.71999999999999975
116,79,55,19.29224353056707,0.90000000000000024,True,19.895503320385977,8.4731449192898936,0.86999999999999988
117,58,20,70.45946920931533,0.20000000000000004,False,55.463664627508528,34.642976823484375,0.39999999999999947
118,58,20,59.009071112281759,0.20000000000000004,False,58.030647225594713,25.224017786890698,0.2099999999999993
119,58,20,49.520948886059266,0.40000000000000013,True,46.331359245018085,27.972781061144694,0.44999999999999951
120,58,20,42.435781167485239,0.8500000000000002,True,43.113832408351655,22.066346700260333,0.82999999999999985
121,58,20,27.654177175517781,0.8500000000000002,True,30.064007374925577,22.512226930840828,0.7699999999999998
122,58,20,11.31773401429921,0.95000000000000029,True,13.998077525070627,10.215752704962155,0.74999999999999978
123,39,40,69.363541686058582,0.35000000000000009,True,57.592935328776655,28.278347899151711,0.60999999999999965
124,39,40,50.957168742803383,0.75000000000000022,True,51.314013446331856,27.724939115526873,0.73999999999999977
125,39,40,29.311139794453549,0.70000000000000018,True,34.785009983369108,25.449261741365078,0.55999999999999961
126,39,40,20.011325185191119,0.95000000000000029,True,20.319231721150398,10.219499412151762,0.92999999999999994
127,39,40,9.1985004964920645,0.80000000000000016,True,10.640601045841697,10.278687555708446,0.67999999999999972
128,84,30,80.658925262296222,0.40000000000000013,True,67.116536941222023,17.156461553334509,1.0
129,84,30,68.174903211082054,0.25000000000000006,False,48.914437974297073,31.419302376339431,0.56999999999999962
130,84,30,59.710626528726131,0.90000000000000024,True,71.352393692894211,23.191895527407986,0.50999999999999956
131,84,30,41.194625203874054,0.55000000000000016,True,41.09996461176339,20.238910300552064,0.5499999999999996
132,84,30,29.387698658445494,0.40000000000000013,True,25.808843512903486,13.353949166017539,0.46999999999999953
133,67,35,62.025228699652139,0.75000000000000022,True,66.640522466299373,25.541440240575248,0.60499999999999965
134,67,35,49.212076527964477,0.35000000000000009,True,43.593313917528455,23.876492288558367,0.42999999999999949
135,67,35,40.044259720670269,0.80000000000000016,True,51.842374544964834,28.089338896418631,0.51999999999999957
136,67,35,30.3801806584265,0.35000000000000009,True,24.762717974657086,13.362961127284251,0.44999999999999951
137,67,35,20.360024444715965,0.45000000000000007,True,19.975703582983922,10.512331041422531,0.45999999999999952
138,67,35,8.5050454280722754,0.90000000000000024,True,7.7490112242907792,4.4476688571035794,1.0
139,12,10,65.962437119443251,0.40000000000000013,False,35.705440696740823,52.79937251169946,1.0
140,12,10,41.066174215069552,0.45000000000000007,True,38.048561706313976,33.033390921810607,0.51999999999999957
141,12,10,22.385364384650646,0.45000000000000007,True,25.524727240023424,28.81322024424226,0.38999999999999946
142,12,10,20.560818052304672,0.75000000000000022,True,30.399714409094894,35.738542219669391,0.48999999999999955
143,86,80,69.981535147077253,0.70000000000000018,True,71.020905431883619,17.520472433278762,0.6599999999999997
144,86,80,29.074370883739725,0.6000000000000002,False,23.041055547766213,9.6802242275014123,0.78999999999999981
145,86,80,10.221473050299116,0.65000000000000013,True,8.1710391121315791,5.0315626995092542,0.81999999999999984
146,97,50,69.593820171087614,0.55000000000000016,True,77.833926163615715,22.050637236440174,0.31499999999999939
147,97,50,39.29356147038412,0.55000000000000016,True,36.932379627579792,16.241344201318171,0.59999999999999964
148,97,50,29.451264063704446,0.65000000000000013,True,30.223378161651901,12.446151790175431,0.62999999999999967
149,97,50,19.892172246134223,0.65000000000000013,True,19.883981993026612,7.7907188659934619,0.64999999999999969
150,97,50,9.8504281627104131,0.45000000000000007,True,9.8403174630779713,6.0550032735129982,0.44999999999999951
151,51,30,70.490220711023639,0.6000000000000002,True,62.847205501858831,22.150554111869504,0.8899999999999999
152,51,30,50.733818894367474,0.90000000000000024,True,57.967920037844706,24.901855338330463,0.67999999999999972
153,51,30,41.718941763943569,0.75000000000000022,True,39.348819856879857,20.49591064718728,0.81999999999999984
154,51,30,20.339601550709098,0.6000000000000002,True,18.048907933680699,11.739221891872134,0.68999999999999972
155,51,30,8.3060188608125518,0.70000000000000018,True,7.1818566930483891,6.311292352111419,0.81999999999999984
156,55,20,81.311490599876194,0.30000000000000004,False,62.929803117721015,26.438156523277456,1.0
157,55,20,70.946138053431156,0.50000000000000011,True,56.945089930971328,25.532688148092745,1.0
158,55,20,59.453103121566535,0.50000000000000011,True,64.980872218275422,24.981126283061492,0.38999999999999946
159,55,20,47.471005177680262,0.80000000000000016,True,41.435672474034973,12.895775995987407,1.0
