,N,kappa,org_inc,f,correct,inc_predict,precision,f_predict
2444,34,25,67.565395564907845,0.75000000000000022,True,61.210817773507316,20.735013094641481,1.0
2445,34,25,62.926965597141994,0.75000000000000022,True,56.556155505387999,19.483548055918995,1.0
2446,34,25,60.196563313231934,0.75000000000000022,True,66.188548011435216,27.000785316934966,0.56999999999999962
2447,34,25,50.366669381077251,0.75000000000000022,True,47.745248619524155,23.552093803008987,0.82999999999999985
2448,34,25,40.381601125865359,0.75000000000000022,True,32.906139475824894,23.122683840074899,1.0
2449,34,25,37.342973088587947,0.75000000000000022,True,36.343088548983957,20.807270683721871,0.7799999999999998
2450,34,25,31.932989406215544,0.75000000000000022,True,32.295656076207287,23.874764586744,0.73999999999999977
2451,34,25,23.771559518882601,0.75000000000000022,True,27.20919486989208,22.719243771320876,0.63999999999999968
2452,34,25,20.466892685487874,0.75000000000000022,True,22.68698511279446,17.512120174795491,0.6599999999999997
2453,34,25,12.98719611225453,0.75000000000000022,True,12.201183447018634,14.894528743987399,0.79999999999999982
2454,34,25,9.3289272216449817,0.75000000000000022,True,9.8570408038349218,10.226901051676492,0.69999999999999973
2455,34,25,2.0965490259089838,0.75000000000000022,True,1.8950961124273975,5.6719930779937666,0.79999999999999982
2456,41,45,69.927840050527237,0.75000000000000022,True,64.286019439842136,14.551598873539632,1.0
2457,41,45,54.23507176470175,0.75000000000000022,True,48.23463527334188,22.205232462269741,0.93999999999999995
2458,41,45,48.29668819134065,0.75000000000000022,True,58.000689148004227,34.051406921391205,0.51999999999999957
2459,41,45,41.487114234625466,0.75000000000000022,True,56.054615217534256,29.397655222648837,0.4399999999999995
2460,41,45,41.043621608007548,0.75000000000000022,True,41.436901234830664,28.436668333090886,0.73999999999999977
2461,41,45,34.849736518915066,0.75000000000000022,True,43.235472290564715,28.790172621442053,0.5499999999999996
2462,41,45,30.340390687208664,0.75000000000000022,True,31.326917484902509,27.653726698387239,0.71999999999999975
2463,41,45,24.702797081179067,0.75000000000000022,True,24.70242648018495,14.834969783395351,0.74999999999999978
2464,41,45,19.23948437067525,0.75000000000000022,True,17.374430053381904,10.238813438437134,0.83999999999999986
2465,41,45,14.660713015099383,0.75000000000000022,True,14.840395846309434,11.812402812201629,0.73999999999999977
2466,41,45,11.547171368788465,0.75000000000000022,True,8.8631131736659583,6.4941808517439599,1.0
2467,41,45,5.2801840640170763,0.75000000000000022,True,4.6810904621196121,6.862092196164431,0.84999999999999987
2468,63,70,74.070717209666455,0.45000000000000007,True,67.486137162672222,21.029605312656201,0.6599999999999997
2469,63,70,65.783279541308247,0.45000000000000007,True,58.840844274671248,25.577249326101573,0.60999999999999965
2470,63,70,60.488297831831758,0.45000000000000007,True,50.148721790083044,21.670265891903547,0.66999999999999971
2471,63,70,54.3954041481378,0.45000000000000007,True,49.528579932924607,27.71757532404677,0.53999999999999959
2472,63,70,49.989574038217825,0.45000000000000007,True,37.38308614046511,22.09657376519079,0.70999999999999974
2473,63,70,44.716113529968695,0.45000000000000007,True,35.131438244829795,23.388628571098288,0.63999999999999968
2474,63,70,40.498450957963293,0.45000000000000007,True,36.595709271929245,20.275119090735487,0.51999999999999957
2475,63,70,31.22444633100055,0.45000000000000007,True,30.693110724263729,16.666803796635399,0.45999999999999952
2476,63,70,24.28847503806481,0.45000000000000007,True,22.542691789151718,11.832574831944335,0.48999999999999955
2477,63,70,18.323252583251218,0.45000000000000007,True,22.396697585239561,9.4564565016921982,0.35999999999999943
2478,63,70,14.987768156115322,0.45000000000000007,True,12.013040883132058,6.8220218207819148,0.56999999999999962
2479,63,70,11.105435751475737,0.45000000000000007,True,13.401015786112731,6.7647479623308069,0.36999999999999944
2480,63,70,7.5427990781150864,0.45000000000000007,True,8.4652995514973401,5.7446809614761749,0.39999999999999947
2481,95,25,73.323868741181897,0.65000000000000013,True,69.866096282857896,19.861832417767118,0.80499999999999983
2482,95,25,65.295408575470461,0.65000000000000013,True,55.464091348073687,18.280512978301502,1.0
