,N,f,Fisher,kappa,inc_org
130,88,0.30000000000000004,False,55,64
131,225,0.35000000000000009,False,5,65
132,447,0.40000000000000013,False,20,14
133,181,0.45000000000000007,False,70,10
134,35,0.50000000000000011,True,20,76
135,358,0.55000000000000016,False,20,30
136,277,0.6000000000000002,True,20,60
137,457,0.65000000000000013,True,70,70
138,318,0.70000000000000018,True,40,86
139,66,0.75000000000000022,True,30,23
140,122,0.80000000000000016,True,25,75
141,180,0.8500000000000002,True,50,46
142,427,0.90000000000000024,False,40,43
143,168,0.95000000000000029,True,75,29
144,389,0.10000000000000001,False,50,16
145,310,0.15000000000000002,False,40,62
146,383,0.20000000000000004,False,5,52
147,237,0.25000000000000006,False,35,81
148,182,0.30000000000000004,False,75,89
149,300,0.35000000000000009,False,55,87
150,34,0.40000000000000013,True,10,48
151,473,0.45000000000000007,False,20,50
152,286,0.50000000000000011,False,15,0
153,334,0.55000000000000016,False,40,8
154,129,0.6000000000000002,True,10,65
155,331,0.65000000000000013,False,50,36
156,194,0.70000000000000018,False,50,22
157,446,0.75000000000000022,False,45,82
158,346,0.80000000000000016,True,25,27
159,232,0.8500000000000002,False,75,73
160,201,0.90000000000000024,True,20,12
161,27,0.95000000000000029,True,65,4
162,113,0.10000000000000001,False,70,54
163,26,0.15000000000000002,False,50,10
164,149,0.20000000000000004,False,45,13
165,150,0.25000000000000006,False,35,30
166,370,0.30000000000000004,False,35,27
167,479,0.35000000000000009,False,10,32
168,154,0.40000000000000013,False,65,36
169,260,0.45000000000000007,False,75,17
170,467,0.50000000000000011,False,45,38
171,82,0.55000000000000016,False,15,79
172,79,0.6000000000000002,True,25,67
173,181,0.65000000000000013,False,65,9
174,244,0.70000000000000018,True,30,76
175,403,0.75000000000000022,False,60,9
176,104,0.80000000000000016,True,60,23
177,337,0.8500000000000002,True,25,40
178,266,0.90000000000000024,False,25,78
179,459,0.95000000000000029,True,15,29
180,38,0.10000000000000001,False,5,23
181,92,0.15000000000000002,False,30,85
182,491,0.20000000000000004,False,35,18
183,368,0.25000000000000006,False,40,30
184,148,0.30000000000000004,False,15,66
185,325,0.35000000000000009,False,55,72
186,387,0.40000000000000013,False,35,40
187,157,0.45000000000000007,False,5,54
188,451,0.50000000000000011,False,75,26
189,29,0.55000000000000016,False,10,6
190,433,0.6000000000000002,False,55,53
191,494,0.65000000000000013,False,5,6
192,79,0.70000000000000018,True,75,63
193,478,0.75000000000000022,False,35,50
194,383,0.80000000000000016,True,15,53
195,203,0.8500000000000002,True,10,38
196,404,0.90000000000000024,True,75,48
197,417,0.95000000000000029,True,25,38
198,218,0.10000000000000001,False,30,41
199,212,0.15000000000000002,False,10,43
200,222,0.20000000000000004,False,40,38
201,213,0.25000000000000006,False,65,63
202,269,0.30000000000000004,False,5,39
203,375,0.35000000000000009,False,20,33
204,238,0.40000000000000013,False,70,30
205,82,0.45000000000000007,False,30,46
206,304,0.50000000000000011,False,5,18
207,214,0.55000000000000016,False,50,13
208,353,0.6000000000000002,False,10,14
209,281,0.65000000000000013,True,15,71
210,431,0.70000000000000018,True,45,55
211,418,0.75000000000000022,False,20,36
212,457,0.80000000000000016,True,35,82
213,364,0.8500000000000002,False,75,3
214,130,0.90000000000000024,True,25,84
215,251,0.95000000000000029,True,15,86
216,202,0.10000000000000001,False,10,54
217,247,0.15000000000000002,False,50,63
218,132,0.20000000000000004,False,50,39
219,371,0.25000000000000006,False,50,10
220,67,0.30000000000000004,False,75,86
221,67,0.35000000000000009,False,65,41
222,171,0.40000000000000013,False,40,46
223,460,0.45000000000000007,False,5,77
224,452,0.50000000000000011,True,65,72
225,106,0.55000000000000016,True,15,70
226,316,0.6000000000000002,True,10,66
227,341,0.65000000000000013,True,60,69
228,287,0.70000000000000018,False,10,16
229,54,0.75000000000000022,True,20,85
230,109,0.80000000000000016,True,50,73
231,476,0.8500000000000002,True,45,32
232,196,0.90000000000000024,False,45,78
233,173,0.95000000000000029,True,45,36
234,385,0.10000000000000001,False,10,22
235,327,0.15000000000000002,False,50,7
236,447,0.20000000000000004,False,10,40
237,260,0.25000000000000006,False,15,84
238,119,0.30000000000000004,False,70,61
239,29,0.35000000000000009,False,60,3
240,495,0.40000000000000013,False,15,51
241,436,0.45000000000000007,False,35,80
242,17,0.50000000000000011,True,60,69
243,206,0.55000000000000016,False,60,3
244,456,0.6000000000000002,True,40,74
245,332,0.65000000000000013,True,70,60
246,405,0.70000000000000018,False,30,40
247,23,0.75000000000000022,True,15,4
248,394,0.80000000000000016,False,25,39
249,54,0.8500000000000002,True,45,67
250,347,0.90000000000000024,True,75,64
251,40,0.95000000000000029,True,30,36
252,30,0.10000000000000001,False,15,11
253,451,0.15000000000000002,False,45,74
254,146,0.20000000000000004,False,25,74
255,274,0.25000000000000006,False,5,39
256,415,0.30000000000000004,False,45,69
257,81,0.35000000000000009,False,65,2
258,345,0.40000000000000013,False,50,28
259,52,0.45000000000000007,True,15,44
260,327,0.50000000000000011,False,40,77
261,240,0.55000000000000016,False,30,6
262,133,0.6000000000000002,True,15,55
263,419,0.65000000000000013,False,35,32
264,164,0.70000000000000018,False,20,1
265,55,0.75000000000000022,True,60,36
266,107,0.80000000000000016,True,65,71
267,42,0.8500000000000002,True,60,72
268,330,0.90000000000000024,True,5,13
269,138,0.95000000000000029,True,55,17
270,405,0.10000000000000001,False,5,76
271,344,0.15000000000000002,False,40,56
272,379,0.20000000000000004,False,20,28
273,430,0.25000000000000006,False,15,47
274,113,0.30000000000000004,False,45,22
275,326,0.35000000000000009,False,5,50
276,382,0.40000000000000013,False,40,80
277,306,0.45000000000000007,False,40,83
278,174,0.50000000000000011,True,60,74
279,327,0.55000000000000016,False,50,48
280,472,0.6000000000000002,False,75,38
281,482,0.65000000000000013,False,35,17
282,12,0.70000000000000018,True,15,33
283,163,0.75000000000000022,True,35,58
284,194,0.80000000000000016,True,35,31
285,58,0.8500000000000002,True,50,77
286,272,0.90000000000000024,True,15,60
287,211,0.95000000000000029,True,5,19
288,406,0.10000000000000001,False,50,82
289,57,0.15000000000000002,False,20,82
290,50,0.20000000000000004,False,30,39
291,414,0.25000000000000006,False,65,50
292,133,0.30000000000000004,False,5,72
293,148,0.35000000000000009,False,55,24
294,219,0.40000000000000013,False,35,15
295,343,0.45000000000000007,False,75,89
296,213,0.50000000000000011,False,20,4
297,48,0.55000000000000016,True,70,48
298,67,0.6000000000000002,False,20,41
299,251,0.65000000000000013,False,40,48
300,284,0.70000000000000018,False,5,69
301,245,0.75000000000000022,False,75,31
302,32,0.80000000000000016,True,60,19
303,145,0.8500000000000002,False,45,30
304,50,0.90000000000000024,True,15,56
305,151,0.95000000000000029,True,40,2
306,192,0.10000000000000001,False,20,85
307,418,0.15000000000000002,False,25,55
308,383,0.20000000000000004,False,10,86
309,402,0.25000000000000006,False,55,29
310,187,0.30000000000000004,False,50,66
311,360,0.35000000000000009,False,30,83
312,195,0.40000000000000013,False,15,60
313,114,0.45000000000000007,True,45,85
314,413,0.50000000000000011,False,45,8
315,300,0.55000000000000016,True,25,79
316,133,0.6000000000000002,False,70,73
317,480,0.65000000000000013,False,25,36
318,449,0.70000000000000018,False,20,6
319,431,0.75000000000000022,False,50,33
320,484,0.80000000000000016,False,75,2
321,497,0.8500000000000002,True,55,83
322,206,0.90000000000000024,True,15,64
323,356,0.95000000000000029,True,65,70
324,119,0.10000000000000001,False,10,71
325,443,0.15000000000000002,False,65,64
326,200,0.20000000000000004,False,25,70
327,274,0.25000000000000006,False,5,84
328,260,0.30000000000000004,False,20,56
329,231,0.35000000000000009,False,60,2
330,319,0.40000000000000013,False,75,47
331,126,0.45000000000000007,True,15,73
332,145,0.50000000000000011,False,20,30
333,149,0.55000000000000016,False,35,6
334,249,0.6000000000000002,False,30,48
335,201,0.65000000000000013,False,15,7
336,384,0.70000000000000018,True,50,52
337,89,0.75000000000000022,True,50,88
338,178,0.80000000000000016,True,20,64
339,243,0.8500000000000002,True,35,71
340,128,0.90000000000000024,True,10,84
341,364,0.95000000000000029,True,35,35
342,264,0.10000000000000001,False,55,61
343,362,0.15000000000000002,False,30,20
344,315,0.20000000000000004,False,20,18
345,19,0.25000000000000006,True,20,65
346,323,0.30000000000000004,False,15,16
347,202,0.35000000000000009,False,45,85
348,467,0.40000000000000013,False,30,88
349,395,0.45000000000000007,False,20,4
350,140,0.50000000000000011,False,75,36
351,326,0.55000000000000016,False,65,21
352,482,0.6000000000000002,False,25,59
353,422,0.65000000000000013,False,70,71
354,119,0.70000000000000018,True,50,48
355,246,0.75000000000000022,False,50,10
356,241,0.80000000000000016,True,75,64
357,482,0.8500000000000002,True,20,1
358,282,0.90000000000000024,True,40,36
359,366,0.95000000000000029,True,10,57
360,465,0.10000000000000001,False,65,63
361,95,0.15000000000000002,False,50,19
362,321,0.20000000000000004,False,60,74
363,66,0.25000000000000006,False,5,16
364,495,0.30000000000000004,False,5,51
365,276,0.35000000000000009,False,45,19
366,132,0.40000000000000013,False,60,14
367,343,0.45000000000000007,False,75,12
368,312,0.50000000000000011,False,15,32
369,222,0.55000000000000016,False,30,45
370,343,0.6000000000000002,False,30,45
371,24,0.65000000000000013,True,5,64
372,78,0.70000000000000018,False,65,22
373,461,0.75000000000000022,True,30,80
374,391,0.80000000000000016,True,10,78
375,47,0.8500000000000002,True,65,78
376,78,0.90000000000000024,False,40,18
377,478,0.95000000000000029,True,10,36
378,230,0.10000000000000001,False,70,1
379,450,0.15000000000000002,False,70,70
380,464,0.20000000000000004,False,25,79
381,171,0.25000000000000006,False,5,45
382,133,0.30000000000000004,False,20,46
383,299,0.35000000000000009,False,45,77
384,56,0.40000000000000013,False,25,12
385,174,0.45000000000000007,False,70,0
386,171,0.50000000000000011,False,40,34
387,369,0.55000000000000016,False,20,24
388,72,0.6000000000000002,True,25,56
389,387,0.65000000000000013,True,55,59
390,48,0.70000000000000018,True,5,0
391,82,0.75000000000000022,True,55,2
392,80,0.80000000000000016,True,55,77
393,470,0.8500000000000002,False,30,31
394,400,0.90000000000000024,True,30,61
395,465,0.95000000000000029,True,45,65
396,444,0.10000000000000001,False,25,7
397,77,0.15000000000000002,False,5,60
398,448,0.20000000000000004,False,55,50
399,253,0.25000000000000006,False,45,32
400,480,0.30000000000000004,False,50,3
401,353,0.35000000000000009,False,40,89
402,481,0.40000000000000013,False,40,87
