,N,kappa,org_inc,f,correct,inc_predict,precision,f_predict
0,164,40,79.162586194653116,0.75000000000000022,True,86.708347468269054,11.090874597454146,0.21999999999999931
1,164,40,70.159918747312844,0.75000000000000022,True,68.089474898589003,14.991717509573149,0.83999999999999986
2,164,40,65.06807773612573,0.75000000000000022,True,58.597159904165416,14.778809054488129,1.0
3,164,40,60.194141418623495,0.75000000000000022,False,53.127600912458433,6.6656221712854489,1.0
4,164,40,53.978141660533545,0.75000000000000022,True,50.938675895249197,17.608784203464154,0.83999999999999986
5,164,40,49.067438466917082,0.75000000000000022,True,49.425377223805746,17.71403903045465,0.73999999999999977
6,164,40,45.988786173981921,0.75000000000000022,True,49.904445760370862,17.824648450403863,0.64999999999999969
7,164,40,40.037125349932978,0.75000000000000022,True,37.059024957325221,14.428355215162881,0.83999999999999986
8,164,40,33.420594015903745,0.75000000000000022,True,35.915147606965562,13.438726242700994,0.67999999999999972
9,164,40,28.946662613368659,0.75000000000000022,False,34.390611101130851,11.867382939484695,0.59999999999999964
10,164,40,23.99393190697003,0.75000000000000022,True,23.706806474316465,8.5960378049863841,0.75999999999999979
11,164,40,19.834961565437006,0.75000000000000022,True,20.559005832184358,7.7733326069955488,0.71999999999999975
12,164,40,14.165169587260891,0.75000000000000022,True,14.004343899616124,4.8780911359699477,0.75999999999999979
13,164,40,10.495258990159527,0.75000000000000022,True,9.9658271597542605,4.2719847709588041,0.78999999999999981
14,164,40,4.3312567968475841,0.75000000000000022,True,4.0683214759011044,2.8479653946185457,0.79999999999999982
15,244,70,80.16637066998068,0.15000000000000002,False,61.003104168148489,24.687191801765685,0.50499999999999956
16,24,60,47.55949268762987,0.8500000000000002,True,60.449981722810215,31.216536259189155,0.51999999999999957
17,24,60,39.707964586705963,0.8500000000000002,True,50.76717592037609,30.802951476451369,0.56999999999999962
18,24,60,35.282063362194471,0.8500000000000002,True,37.93931326639963,26.23492912368075,0.7699999999999998
19,24,60,31.450043554314863,0.8500000000000002,True,31.777028273639903,20.240785306594205,0.83999999999999986
20,24,60,27.059834525707281,0.8500000000000002,True,29.336026183037866,23.012981726781501,0.7699999999999998
21,24,60,21.248810377985279,0.8500000000000002,True,19.054687369597598,16.335665425026232,0.95999999999999996
22,24,60,14.472550881978455,0.8500000000000002,True,12.435300058310267,9.5451529698808901,1.0
23,24,60,8.0720775776371827,0.8500000000000002,True,9.8334731221801892,8.2108034397315812,0.68999999999999972
24,24,60,7.0898808048523625,0.8500000000000002,True,8.9475248903081983,12.080190629791574,0.66999999999999971
25,256,35,74.465110761108704,0.45000000000000007,False,60.562255633238372,15.026396268833693,0.96999999999999997
26,256,35,69.87718403037195,0.45000000000000007,True,68.319541944441497,21.66821285545511,0.48999999999999955
27,256,35,64.014693665172047,0.45000000000000007,True,61.223007509369879,20.579861433158293,0.50999999999999956
28,256,35,59.677634098797682,0.45000000000000007,True,52.921770521776821,19.427475212081717,0.58999999999999964
29,256,35,54.718686973725866,0.45000000000000007,True,55.909091952707229,20.652775097128341,0.42999999999999949
30,256,35,49.814145031111508,0.45000000000000007,True,55.000577558871242,17.701434615553438,0.36999999999999944
31,256,35,44.294140090697852,0.45000000000000007,True,41.918303630797816,13.320634817181713,0.48999999999999955
32,256,35,40.371247238870133,0.45000000000000007,True,39.179318048512648,13.470344400228697,0.46999999999999953
33,256,35,35.283523177229476,0.45000000000000007,True,36.452292634181077,9.2379074352873332,0.42999999999999949
34,256,35,29.974266908128616,0.45000000000000007,True,29.939630622030336,7.9361948142751473,0.44999999999999951
35,256,35,26.303023296810277,0.45000000000000007,True,26.812746244464048,7.8099502442068456,0.4399999999999995
36,256,35,20.025341091493232,0.45000000000000007,True,20.399668598738693,5.8287076152399884,0.4399999999999995
37,256,35,16.104284843269099,0.45000000000000007,True,16.821132365107538,4.8453479563163491,0.42999999999999949
38,256,35,11.235894046554831,0.45000000000000007,True,11.92359694477782,4.4887157936727693,0.41999999999999948
39,256,35,5.8350355367407998,0.45000000000000007,True,6.1192071605253888,2.9505287661161672,0.42999999999999949
40,268,25,79.024283605397244,0.45000000000000007,True,71.319692170141423,15.563863329313079,0.79999999999999982
41,268,25,73.684228955202769,0.45000000000000007,True,79.821708040440853,22.177772029072443,0.26999999999999935
42,268,25,69.874673494726437,0.45000000000000007,True,71.031518790310102,22.367053899208713,0.41999999999999948
43,268,25,64.462521788518259,0.45000000000000007,True,61.312651609176129,20.71000545078418,0.51999999999999957
44,268,25,58.632097845906365,0.45000000000000007,False,48.041656870172631,17.858105750244867,0.67999999999999972
45,268,25,54.994586554488777,0.45000000000000007,True,56.078175962515182,19.128977400007713,0.42999999999999949
46,268,25,50.506118180649516,0.45000000000000007,True,47.711532796989893,15.124653059388685,0.49999999999999956
47,268,25,45.979559272243947,0.45000000000000007,True,52.664401322076678,11.486403342275949,0.34999999999999942
48,268,25,40.80095192416475,0.45000000000000007,True,37.415599539157064,11.189159632745678,0.50999999999999956
49,268,25,34.257524820028706,0.45000000000000007,True,30.73006234495455,7.7730195388956353,0.51999999999999957
50,268,25,29.819389414884533,0.45000000000000007,True,30.860869344108085,7.9982079325591826,0.42999999999999949
51,268,25,26.251417321218685,0.45000000000000007,True,26.726222823740375,8.0651266391179526,0.4399999999999995
52,268,25,19.19555620068023,0.45000000000000007,True,18.186899531105173,5.4711853136774362,0.47999999999999954
53,268,25,15.367560631775484,0.45000000000000007,True,14.761176856689627,4.174802986906915,0.46999999999999953
54,268,25,8.8627434441435202,0.45000000000000007,True,9.2255420465568498,3.4096863520729945,0.42999999999999949
